Country Code,2023,2024
AF,-4.64470870797775,-6.60118564073726
AO,13.6441017767715,28.2404948915772
AL,4.75976421930106,2.21448953273294
AM,1.98041877615554,0.269511978259125
AU,5.5970149253731,3.1616142830575
AT,7.81413417002832,2.93791574279383
AZ,8.78543049849081,2.21217188919901
BI,26.9414835762453,20.2124925027847
BE,4.04901077613941,3.14349136500041
BF,0.742910428668841,4.19113446375394
BD,9.8835030377921,10.4657482763412
BG,9.44284140088564,2.44651943006079
BH,0.0746206782192256,0.919635459817651
BA,6.1059011284828,1.69212733599724
BY,5.0005990309131,5.78531910428
BZ,4.38984017487675,3.28955985952768
BO,2.57688800489192,5.09976568317427
BR,4.59356282283204,4.36746407652337
BN,0.35706431153689,-0.388674165036461
BT,4.22934419929251,2.76131569624098
BW,5.0676154934383,2.81835131676251
CA,3.87900159788426,2.38158383281173
CH,2.13540088016377,1.06234041976595
CL,7.58168251407962,4.29763891572524
CN,0.234836828893051,0.218128938439177
CI,4.38711707003279,3.46637314660165
CO,11.7359044948689,6.60908593728228
CR,0.525193508693455,-0.41345934225229
CY,3.54134188751663,1.80023018624815
CZ,10.6612601372426,2.43531202435314
DE,5.94643667725823,2.2564981433876
DK,3.30517811237606,1.37220049768918
DO,4.78561281021135,3.30223338951227
DZ,9.32217375928322,4.04611455313434
EC,2.21568764237058,1.54732515615369
ES,3.53236133492433,2.77417826534772
EE,9.15922507983982,3.52056053296586
FI,6.25064322154763,1.56568906231616
FR,4.87835726508441,1.99904942291463
GA,3.62901534185376,1.17311998381218
GB,6.79396706793963,3.2715729463592
GE,2.48776056578715,1.10971758022096
GH,38.1069656296501,22.8483281157842
GN,7.80497591927973,8.12313914948596
GR,3.46480128513405,2.74149045788606
GT,6.20657592272126,2.86919482222022
GY,2.82110335099641,2.90395226446373
HK,2.09660511249089,1.72972119105914
HN,6.66325180347457,4.60621098127107
HU,17.1249659678737,3.70370370370369
IN,5.64914318907925,4.95303550973656
IE,6.29942487419125,2.11344999577317
IS,8.73630299937298,5.85683849970066
IL,4.22535211267609,3.07052614744924
IT,5.62219442195901,0.982373023061417
JM,6.47413734662063,5.41194447981659
JP,3.26813365933163,2.73853681635241
KZ,14.7249900200331,4.85655589318192
KE,7.67139634029402,4.48978854243448
KR,3.5974562502901,2.32174328643542
KW,3.64216403030709,2.89855072463762
LA,31.2301341732646,23.1305695942588
LY,2.37317531435169,2.12615766885025
LK,16.5411742279832,-0.42936004906973
LS,6.34221743124953,6.10544624245032
LT,9.11731962390475,0.715735835228723
LU,3.74140361983136,2.05113269954859
LV,8.93804623316637,1.26579885828729
MA,6.09114152504141,0.985256592004507
MD,13.41701043813,4.67773516007048
MV,2.92746542425035,1.39979779674928
MX,5.52796087314389,4.72225588452932
MK,9.36187249769016,3.48974086026947
ML,2.05880228274214,3.20639864099652
ME,8.58476910455403,3.33675009282281
MN,10.3475831314339,6.80284899332961
MU,7.05298238454735,4.10263226568006
MW,28.7897428247298,32.1796504225025
MY,2.48886560125754,1.834100204499
NA,5.87993463284275,4.23903922877036
NE,3.70097316425834,9.07151997725013
NI,8.38765854872536,4.62473841057141
NL,3.83839354342808,3.34754304219953
NO,5.51784987104659,3.14530134431073
NZ,5.73316283034957,2.92279782301957
PK,30.7681280657005,12.6325318530452
PA,1.48641355277038,0.685197879812108
PE,6.45561348369586,2.00770739412712
PH,5.97802515541409,3.21260487006347
PW,12.8199748216534,2.23172772921704
PG,2.29869991296791,0.602403921107917
PL,11.5289127961105,3.7842600751287
PT,4.31128191898672,2.41613187791884
PY,4.63202285403356,3.83540271728533
QA,3.02764899198902,1.26734310292375
RO,10.3971874764996,-4.5191101423114
RW,19.789546746467,1.77029240198635
SA,2.32708518362692,1.68792112375817
SG,4.82146729476466,2.36645846996694
SL,47.6428733253179,28.6337500014115
SV,4.04554694222477,0.853782292567288
SM,5.93190858629403,1.24216507945569
RS,12.3719043552519,4.6705297488997
SR,51.5873159600861,16.2296159130279
SK,10.5319476645211,2.75760909424272
SI,7.44687717385838,1.96562656432512
SE,8.54862489748902,2.83581658224034
SC,-1.03530088431952,0.311726050919668
TD,10.8363568399842,8.89950732263761
TL,8.42035103310377,2.06284153005468
TO,6.35112980255189,3.18364611260058
TT,4.62930242419968,0.526884625776839
TN,9.32899597507865,7.20661657168794
TR,53.8594087593315,58.5064507300343
TZ,3.79923291384916,3.05694676312373
UG,5.35094804280395,3.3233806708656
UA,12.8490222828559,6.50198464669254
UY,5.86910359896119,4.84914366613156
US,4.11633838374488,2.94952520485207
UZ,9.95659071258018,9.62825465956682
VC,4.56457719814894,3.62770736940927
VN,3.25289282667662,3.62109273885843
WS,7.92164684826777,2.17245530514377
ZA,6.0752438457966,4.36115246518962
