Country Code,PPP,CPI
AF,14.8064047847023,-6.60118564073726
AO,209.794208294387,28.2404948915772
AL,40.5888236494,2.21448953273294
AM,148.09152970721,0.269511978259125
AU,1.366149,3.1616142830575
AT,0.735286,2.93791574279383
AZ,0.51335400569404,2.21217188919901
BI,723.894519014926,20.2124925027847
BE,0.732409,3.14349136500041
BF,194.362478765867,4.19113446375394
BD,28.6306777887607,10.4657482763412
BG,0.76606472007,2.44651943006079
BH,0.173018958851266,0.919635459817651
BA,0.69620010551,1.69212733599724
BY,0.76535733770338,5.78531910428
BZ,1.07932602259569,3.28955985952768
BO,2.33149271757576,5.09976568317427
BR,2.43595911597318,4.36746407652337
BN,0.519210636342662,-0.388674165036461
BW,5.08342112692872,2.81835131676251
CA,1.13542,2.38158383281173
CH,0.999013,1.06234041976595
CL,437.098886,4.29763891572524
CN,3.636979368794,0.218128938439177
CI,213.281617151658,3.46637314660165
CO,1445.979656,6.60908593728228
CR,328.309035,-0.41345934225229
CY,0.590840010514,1.80023018624815
CZ,13.177331,2.43531202435314
DE,0.726221,2.2564981433876
DK,6.396029,1.37220049768918
DO,23.4887612459898,3.30223338951227
DZ,43.309804948654,4.04611455313434
EC,0.411517703096167,1.54732515615369
ES,0.5822,2.77417826534772
EE,0.595604,3.52056053296586
FI,0.792876,1.56568906231616
FR,0.708736,1.99904942291463
GA,228.016964877431,1.17311998381218
GB,0.683478,3.2715729463592
GE,0.8682649562153,1.10971758022096
GH,3.30229367094792,22.8483281157842
GN,2992.20357097815,8.12313914948596
GR,0.525519,2.74149045788606
GT,3.28243453685422,2.86919482222022
GY,79.104804384633,2.90395226446373
HK,5.52967391559928,1.72972119105914
HN,11.074832836622,4.60621098127107
HU,173.65191,3.70370370370369
IN,20.2025584710366,4.95303550973656
IE,0.769246,2.11344999577317
IS,143.868721,5.85683849970066
IL,3.571403,3.07052614744924
IT,0.624065,0.982373023061417
JM,92.3153999131695,5.41194447981659
JP,95.270567,2.73853681635241
KZ,153.008087182993,4.85655589318192
KE,43.2872477957024,4.48978854243448
KR,828.391665,2.32174328643542
KW,0.200950622738202,2.89855072463762
LA,3934.87360775655,23.1305695942588
LY,2.14524254209143,2.12615766885025
LK,86.7026933502495,-0.42936004906973
LS,5.86804659349166,6.10544624245032
LT,0.504717,0.715735835228723
LU,0.8533,2.05113269954859
LV,0.501585,1.26579885828729
MA,3.88255216894554,0.985256592004507
MD,6.94626629149713,4.67773516007048
MV,7.79468299354335,1.39979779674928
MX,9.878836,4.72225588452932
MK,20.1361004767,3.48974086026947
ML,198.393517980443,3.20639864099652
ME,0.364951127879,3.33675009282281
MN,1123.87249557112,6.80284899332961
MU,17.8132300485792,4.10263226568006
MW,382.276491678728,32.1796504225025
MY,1.42505898097785,1.834100204499
,6.85561514941412,4.23903922877036
NE,206.287025878039,9.07151997725013
NI,11.4589278696861,4.62473841057141
NL,0.76264,3.34754304219953
NO,9.20239,3.14530134431073
NZ,1.471218,2.92279782301957
PK,56.1913681393929,12.6325318530452
PA,0.469468516383161,0.685197879812108
PE,1.74387042414011,2.00770739412712
PH,19.2623140452142,3.21260487006347
PW,0.906895733161873,2.23172772921704
PG,2.29810324831541,0.602403921107917
PL,1.990937,3.7842600751287
PT,0.534046,2.41613187791884
PY,2611.63708069054,3.83540271728533
QA,2.26432104089352,1.26734310292375
RO,1.83905881016,-4.5191101423114
RW,345.099547235674,1.77029240198635
SA,1.96966638802559,1.68792112375817
SG,0.8037836176702,2.36645846996694
SL,4.79466308027478,28.6337500014115
SV,0.425934641179098,0.853782292567288
RS,46.3102217188,4.6705297488997
SR,9.55969401696286,16.2296159130279
SK,0.519207,2.75760909424272
SI,0.558997,1.96562656432512
SE,8.765773,2.83581658224034
SC,7.66322976969878,0.311726050919668
TD,221.496090534004,8.89950732263761
TL,0.312766289840095,2.06284153005468
TT,3.83972390680919,0.526884625776839
TN,0.8870532514667,7.20661657168794
TR,7.350289,58.5064507300343
TZ,725.852289581593,3.05694676312373
UG,1214.19713968138,3.3233806708656
UA,10.5171315081732,6.50198464669254
UY,25.708087339119,4.84914366613156
US,1.0,2.94952520485207
UZ,3010.59375215095,9.62825465956682
VC,1.39588580059389,3.62770736940927
VN,6802.47065679253,3.62109273885843
WS,1.68984001763853,2.17245530514377
ZA,7.31314484629252,4.36115246518962
